"city","stateprovincename","country","customerkey","geographykey","maritalstatus","yearlyincome","datefirstpurchase","fullname"
"Downey","California","United States",11064,315,"M","40000.00","2022-01-25","Mr Chase Reed"
"La Jolla","California","United States",11065,331,"M","60000.00","2022-02-10","Mrs Jessica Henderson"
"Lebanon","Oregon","United States",11066,543,"M","70000.00","2022-05-31","Mrs Grace Butler"
"Port Orchard","Washington","United States",11067,632,"S","60000.00","2022-08-18","Mr Caleb Carter"
"Warrnambool","Victoria","Australia",11068,40,"S","80000.00","2022-04-30","Ms Tiffany Liang"
"Hawthorne","Queensland","Australia",11071,24,"S","80000.00","2022-03-01","Ms Linda Serrano"
"Springwood","New South Wales","Australia",11073,16,"S","70000.00","2022-03-23","Ms Amy Ye"
"Cloverdale","South Australia","Australia",11074,28,"S","70000.00","2022-03-23","Mr Levi Arun"
"Cliffside","British Columbia","Canada",11078,49,"S","40000.00","2022-02-15","Ms Gina Martin"
"Geelong","Victoria","Australia",11079,34,"S","160000.00","2022-03-15","Mr Donald Gonzalez"
"South Melbourne","Victoria","Australia",15139,38,"M","80000.00","2022-03-19","Mr Colin She"
"Concord","California","United States",11081,311,"M","120000.00","2022-02-12","Mrs Savannah Baker"
"Fremont","California","United States",11082,322,"S","130000.00","2022-01-22","Ms Angela Butler"
"Lincoln Acres","California","United States",11083,336,"M","130000.00","2022-01-06","Mrs Alyssa Cox"
"Lebanon","Oregon","United States",11084,543,"S","80000.00","2022-01-04","Mr Lucas Phillips"
"Newport Beach","California","United States",11085,345,"S","60000.00","2022-12-06","Ms Emily Johnson"
"Santa Monica","California","United States",11086,369,"M","70000.00","2022-07-02","Mr Ryan Brown"
"Chula Vista","California","United States",11087,307,"M","70000.00","2022-02-25","Mrs Tamara Liang"
"San Diego","California","United States",11088,359,"M","80000.00","2022-01-13","Mr Hunter Davis"
"Long Beach","California","United States",11089,337,"S","80000.00","2021-12-29","Ms Abigail Price"
"Haney","British Columbia","Canada",11091,50,"M","90000.00","2022-01-29","Mr Dalton Perez"
"Cranbourne","Victoria","Australia",11094,33,"S","70000.00","2022-04-07","Mr Cedric Ma"
"Rhodes","New South Wales","Australia",11098,14,"S","60000.00","2022-02-11","Ms Mallory Rubio"
"Sydney","New South Wales","Australia",11102,18,"S","80000.00","2022-07-16","Ms Julia Nelson"
"Perth","South Australia","Australia",11113,30,"M","70000.00","2022-02-01","Mr Micheal Blanco"
"Rhodes","New South Wales","Australia",11114,14,"S","70000.00","2022-03-18","Ms Leslie Moreno"
"St. Leonards","New South Wales","Australia",11115,17,"M","70000.00","2022-02-10","Mr Alvin Cai"
"Sydney","New South Wales","Australia",11116,18,"M","70000.00","2022-03-15","Mr Clinton Carlson"
"Lavender Bay","New South Wales","Australia",11118,6,"S","80000.00","2022-07-10","Mr Alvin Zeng"
"Port Macquarie","New South Wales","Australia",11119,13,"S","30000.00","2022-02-03","Mr Evan James"
"Newcastle","New South Wales","Australia",11121,10,"M","70000.00","2022-06-24","Mr Orlando Suarez"
"North Sydney","New South Wales","Australia",11122,12,"M","70000.00","2022-02-21","Mr Byron Vazquez"
"Sunbury","Victoria","Australia",11123,39,"M","70000.00","2022-04-17","Mr Philip Alvarez"
"Seaford","Victoria","Australia",11125,37,"S","70000.00","2022-01-31","Ms Dana Navarro"
"San Gabriel","California","United States",11127,361,"M","40000.00","2022-04-10","Mrs Jan Edwards"
"Renton","Washington","United States",11128,635,"M","40000.00","2022-06-19","Mrs Samantha Long"
"Lebanon","Oregon","United States",11130,543,"M","30000.00","2022-12-09","Mrs Caroline Russell"
"Haney","British Columbia","Canada",11131,50,"M","30000.00","2022-10-18","Mrs Amanda Rivera"
"Langford","British Columbia","Canada",11132,51,"S","30000.00","2022-04-09","Ms Melissa Richardson"
"Lake Oswego","Oregon","United States",11133,542,"S","30000.00","2022-12-30","Ms Angela Griffin"
"Burlingame","California","United States",11135,302,"S","30000.00","2022-04-18","Mr Marcus Harris"
"Metchosin","British Columbia","Canada",11136,53,"S","40000.00","2022-01-03","Ms Brianna Morgan"
"Spokane","Washington","United States",11137,641,"M","40000.00","2022-07-31","Mrs Jasmine Taylor"
"Glendale","California","United States",11138,325,"M","40000.00","2022-09-19","Mrs Lauren Davis"
"Cloverdale","South Australia","Australia",11139,28,"S","30000.00","2022-09-14","Ms Tanya Moreno"
"Burbank","California","United States",11140,301,"S","30000.00","2022-03-19","Mr Javier Alvarez"
"Daly City","California","United States",11141,314,"M","40000.00","2022-05-16","Mrs Nicole Ramirez"
"Langford","British Columbia","Canada",11142,51,"S","40000.00","2022-02-13","Mr Eduardo Patterson"
"Lakewood","California","United States",11143,334,"M","40000.00","2022-06-15","Mr Jonathan Henderson"
"Ballard","Washington","United States",11144,607,"S","40000.00","2022-01-25","Mr Edward Hernandez"
"Beaverton","Oregon","United States",11145,536,"S","40000.00","2022-01-25","Ms Jasmine Coleman"
"Matraville","New South Wales","Australia",11146,8,"S","40000.00","2022-02-05","Ms Karla Goel"
"East Brisbane","Queensland","Australia",11148,22,"M","40000.00","2022-03-07","Mr Ross Vazquez"
"Hervey Bay","Queensland","Australia",11149,25,"M","40000.00","2022-06-04","Mr Theodore Gill"
"Sunbury","Victoria","Australia",11150,39,"S","40000.00","2022-03-27","Mr Russell Shen"
"Puyallup","Washington","United States",11152,633,"S","40000.00","2022-01-09","Mr James Williams"
"Renton","Washington","United States",11153,635,"M","40000.00","2022-03-29","Mrs Angela James"
"Woodburn","Oregon","United States",11154,553,"S","40000.00","2022-01-10","Ms Megan Walker"
"Burbank","California","United States",11155,301,"S","40000.00","2022-01-06","Mr Hunter Robinson"
"Lakewood","California","United States",11156,334,"S","40000.00","2022-01-08","Ms Maria Roberts"
"Tacoma","Washington","United States",11157,642,"M","40000.00","2022-07-24","Mrs Hannah Long"
"San Gabriel","California","United States",11158,361,"S","40000.00","2022-01-19","Mr Jason Wright"
"Woodland Hills","California","United States",11159,385,"S","40000.00","2022-09-08","Ms Brianna Hughes"
"Concord","California","United States",11160,311,"S","40000.00","2022-02-21","Mr Maurice Tang"
"Santa Cruz","California","United States",15855,368,"M","80000.00","2022-09-30","Mr Noah Jones"
"Concord","California","United States",11161,311,"S","40000.00","2022-06-01","Ms Emily Wood"
"La Jolla","California","United States",11162,331,"S","40000.00","2022-02-18","Mr Chase Cox"
"Spring Valley","California","United States",11163,372,"M","40000.00","2022-05-01","Mr Gabriel Wang"
"Torrance","California","United States",11164,374,"S","40000.00","2022-04-27","Mr Devin Brooks"
"Oakland","California","United States",11165,348,"M","60000.00","2022-05-25","Mrs Jocelyn Alexander"
"Olympia","Washington","United States",11166,631,"S","70000.00","2022-10-14","Ms Ashley Martinez"
"Issaquah","Washington","United States",11167,618,"S","80000.00","2022-01-07","Ms Jasmine Barnes"
"Oakland","California","United States",11168,348,"S","80000.00","2022-01-15","Mr David Rodriguez"
"Coronado","California","United States",11169,312,"M","90000.00","2022-05-26","Mr Bryce Richardson"
"Burien","Washington","United States",11170,612,"M","90000.00","2022-08-26","Mrs Carol Howard"
"Lynnwood","Washington","United States",11172,626,"M","100000.00","2022-05-03","Mrs Gabrielle Adams"
"W. Linn","Oregon","United States",11173,552,"S","110000.00","2022-03-02","Ms Sarah Thomas"
"Los Angeles","California","United States",11174,338,"M","110000.00","2022-07-13","Mr Nicholas Robinson"
"Haney","British Columbia","Canada",11176,50,"M","90000.00","2022-02-02","Mr Mason Roberts"
"San Diego","California","United States",11177,359,"M","110000.00","2022-03-29","Mr Jose Flores"
"Lakewood","California","United States",11178,334,"M","100000.00","2022-02-21","Mr Nathan Johnson"
"Beverly Hills","California","United States",11179,300,"M","120000.00","2022-03-12","Mrs Molly Rodriguez"
"Chula Vista","California","United States",11180,307,"M","160000.00","2022-03-17","Mrs April Anand"
"Los Angeles","California","United States",11181,338,"M","170000.00","2022-05-07","Mr Devin Martin"
"Sedro Woolley","Washington","United States",11182,638,"S","70000.00","2022-08-28","Ms Stephanie Torres"
"Santa Cruz","California","United States",11183,368,"S","70000.00","2022-04-30","Ms Jasmine Lee"
"Concord","California","United States",11184,311,"S","70000.00","2022-08-10","Ms Meghan Hernandez"
"Metchosin","British Columbia","Canada",11185,53,"S","70000.00","2022-02-21","Ms Ashley Henderson"
"Palo Alto","California","United States",11186,352,"S","70000.00","2022-10-18","Ms Sarah Price"
"Burien","Washington","United States",11187,612,"M","60000.00","2022-04-03","Mrs Jennifer Cooper"
"San Gabriel","California","United States",11188,361,"M","60000.00","2022-11-01","Mrs Catherine Morris"
"Beverly Hills","California","United States",11190,300,"M","70000.00","2022-08-28","Mr Carson Bryant"
"Seattle","Washington","United States",11192,637,"M","60000.00","2022-06-23","Mr James Brown"
"Palo Alto","California","United States",11194,352,"M","60000.00","2022-03-13","Mrs Jacqueline Price"
"Renton","Washington","United States",11195,635,"M","60000.00","2022-04-14","Mrs Megan Henderson"
"Beaverton","Oregon","United States",11196,536,"M","60000.00","2022-03-03","Mr Alfredo Romero"
"Seattle","Washington","United States",11197,637,"M","70000.00","2022-05-02","Mrs Andrea Morris"
"Santa Cruz","California","United States",11198,368,"S","70000.00","2022-02-05","Ms Brooke Sanders"
"Burlingame","California","United States",11199,302,"M","70000.00","2022-03-18","Mrs Jacqueline Bennett"
"Victoria","British Columbia","Canada",11200,69,"M","70000.00","2022-02-07","Mr Jason Griffin"
"Santa Monica","California","United States",11201,369,"M","70000.00","2022-07-01","Mrs Amanda Foster"
"Lakewood","California","United States",11202,334,"M","80000.00","2022-09-15","Mrs Alexia Price"
"Port Hammond","British Columbia","Canada",11203,60,"M","40000.00","2022-02-20","Mr Luis Diaz"
"Beaverton","Oregon","United States",11204,536,"M","40000.00","2022-08-09","Mrs Destiny Rivera"
"Burien","Washington","United States",11205,612,"M","40000.00","2022-07-27","Mrs Abby Fernandez"
"Lynnwood","Washington","United States",11206,626,"M","60000.00","2022-05-11","Mr Blake Flores"
"Renton","Washington","United States",11207,635,"S","60000.00","2022-01-31","Ms Danielle Cox"
"Glendale","California","United States",11208,325,"M","60000.00","2022-03-04","Mrs Maria Reed"
"Lincoln Acres","California","United States",11209,336,"M","60000.00","2022-03-25","Mrs Allison Evans"
"West Covina","California","United States",11210,383,"M","70000.00","2022-05-06","Mr Edward Wood"
"Haney","British Columbia","Canada",11211,50,"M","40000.00","2022-02-01","Mrs Samantha Russell"
"Metchosin","British Columbia","Canada",11212,53,"M","40000.00","2022-01-30","Mrs Chloe Campbell"
"Edmonds","Washington","United States",11213,614,"S","60000.00","2022-03-28","Ms Stephanie Murphy"
"Milwaukie","Oregon","United States",11214,545,"S","60000.00","2022-08-14","Mr Charles Miller"
"Royal Oak","British Columbia","Canada",11215,62,"M","40000.00","2022-02-15","Mrs Ana Perry"
"Tacoma","Washington","United States",11218,642,"S","60000.00","2022-02-28","Ms Olivia Brown"
"Woodburn","Oregon","United States",11219,553,"M","60000.00","2022-10-29","Mr Charles Cook"
"Colma","California","United States",11220,310,"M","60000.00","2022-03-14","Mrs Erica Huang"
"Lakewood","California","United States",11221,334,"M","70000.00","2022-04-07","Mr Nathan Perry"
"Santa Monica","California","United States",11222,369,"M","80000.00","2022-11-01","Mrs Alexandra Rivera"
"Langley","British Columbia","Canada",11223,52,"S","70000.00","2022-01-29","Ms Hailey Patterson"
"Renton","Washington","United States",11225,635,"M","60000.00","2022-06-22","Mrs Madison Lee"
"W. Linn","Oregon","United States",11226,552,"M","60000.00","2022-02-21","Mrs Sydney Ross"
"El Cajon","California","United States",11228,316,"M","60000.00","2022-10-25","Mrs Ashley Jones"
"Redwood City","California","United States",11229,355,"S","70000.00","2022-07-27","Mr Adrian Stewart"
"Santa Monica","California","United States",11230,369,"M","70000.00","2022-07-16","Mrs Amber Turner"
"Bremerton","Washington","United States",11231,611,"M","60000.00","2022-02-10","Mr Dennis Zhang"
"Everett","Washington","United States",11232,616,"M","60000.00","2022-09-20","Mrs Hailey Bryant"
"Berkeley","California","United States",11233,299,"M","70000.00","2022-02-08","Mr Todd Li"
"Long Beach","California","United States",11234,337,"S","70000.00","2022-02-08","Ms Anna Griffin"
"Ballard","Washington","United States",11235,607,"M","70000.00","2022-07-04","Mr Angel Stewart"
"Bellingham","Washington","United States",11236,609,"S","70000.00","2022-10-03","Mr Jeremy Butler"
"Les Ulis","Essonne","France",11241,211,"S","100000.00","2021-09-10","Ms Lisa Cai"
"Versailles","Yveline","France",11242,209,"M","110000.00","2021-09-19","Mr Larry Munoz"
"Saint-Denis","Seine Saint Denis","France",11248,223,"M","110000.00","2022-07-14","Mr Tristan Alexander"
"Haney","British Columbia","Canada",11251,50,"S","30000.00","2022-10-18","Mr Xavier Long"
"Victoria","British Columbia","Canada",11253,69,"M","60000.00","2022-03-01","Mr José Hernandez"
"Burien","Washington","United States",11254,612,"M","70000.00","2022-11-23","Mr Johnathan Vance"
"Burien","Washington","United States",11255,612,"M","70000.00","2022-02-23","Mr Colin Lin"
"Lynnwood","Washington","United States",11256,626,"M","70000.00","2022-04-15","Mrs Katelyn Hernandez"
"Palo Alto","California","United States",11258,352,"M","120000.00","2022-05-21","Mr Xavier Hill"
"Burlingame","California","United States",11260,302,"M","110000.00","2022-02-05","Mrs Katelyn Kelly"
"Port Hammond","British Columbia","Canada",11262,60,"M","80000.00","2022-02-27","Mrs Jennifer Simmons"
"Issaquah","Washington","United States",11264,618,"S","90000.00","2022-01-02","Mr Eduardo Martin"
"Kirkland","Washington","United States",11265,623,"M","90000.00","2022-01-03","Mrs Elizabeth Jones"
"Coronado","California","United States",11268,312,"M","130000.00","2022-05-29","Mrs Katelyn Carter"
"Daly City","California","United States",11269,314,"M","130000.00","2022-08-22","Mr Ryan Foster"
"La Jolla","California","United States",11273,331,"M","90000.00","2022-05-14","Mr Nathan Lal"
"Cliffside","British Columbia","Canada",11276,49,"M","80000.00","2022-01-29","Mrs Nancy Chapman"
"Royal Oak","British Columbia","Canada",11277,62,"M","80000.00","2022-02-02","Mr Charles Jackson"
"Everett","Washington","United States",11279,616,"M","90000.00","2022-03-03","Mrs Amanda Cook"
"Lynnwood","Washington","United States",11280,626,"M","90000.00","2022-07-01","Mr Robert Collins"
"Berkeley","California","United States",11283,299,"M","110000.00","2022-05-29","Mr Arturo Lal"
"Chula Vista","California","United States",11284,307,"M","110000.00","2022-02-06","Mrs Theresa Serrano"
"Fremont","California","United States",11285,322,"M","120000.00","2022-07-27","Mr Jeremy Anderson"
"Cliffside","British Columbia","Canada",11287,49,"M","70000.00","2022-01-29","Mr Henry Garcia"
"Burbank","California","United States",11288,301,"M","110000.00","2022-03-05","Mrs Cindy Sanchez"
"Port Orchard","Washington","United States",11293,632,"S","60000.00","2022-02-24","Mr Luke Long"
"Issaquah","Washington","United States",11294,618,"M","60000.00","2022-09-25","Mr Dalton Clark"
"N. Vancouver","British Columbia","Canada",11300,54,"M","80000.00","2022-01-31","Mr Fernando Barnes"
"Ballard","Washington","United States",11301,607,"M","80000.00","2022-06-09","Mr Cameron Rodriguez"
"Portland","Oregon","United States",11304,547,"M","100000.00","2022-03-20","Mrs Julia Garcia"
"Chula Vista","California","United States",11305,307,"M","110000.00","2022-03-25","Mr Sean Evans"
"Coronado","California","United States",11306,312,"M","110000.00","2022-06-30","Mr Micah Zhou"
"Oregon City","Oregon","United States",11308,546,"M","60000.00","2022-09-07","Mr Ian Gonzales"
"Beaverton","Oregon","United States",11309,536,"S","60000.00","2022-07-09","Ms Victoria Lewis"
"San Francisco","California","United States",11310,360,"S","70000.00","2022-08-12","Ms Erin Sanders"
"Lynnwood","Washington","United States",11311,626,"S","70000.00","2022-04-18","Ms Gabrielle Lopez"
"Lynnwood","Washington","United States",11312,626,"S","70000.00","2022-05-17","Ms Sara Richardson"
"Port Orchard","Washington","United States",11313,632,"S","70000.00","2022-05-07","Mr Trevor Jenkins"
"Issaquah","Washington","United States",11314,618,"S","70000.00","2022-02-25","Ms Mya Flores"
"Port Orchard","Washington","United States",11315,632,"S","70000.00","2022-05-20","Ms Hailey Ward"
"Langford","British Columbia","Canada",11316,51,"M","60000.00","2022-01-12","Mr Luke Allen"
"Edmonds","Washington","United States",11318,614,"S","40000.00","2022-10-17","Ms Jessica Wilson"
"Glendale","California","United States",11320,325,"M","80000.00","2022-06-15","Mrs Morgan Hill"
"Burien","Washington","United States",11321,612,"M","90000.00","2022-02-23","Mr Terrance Raman"
"Bremerton","Washington","United States",11322,611,"M","90000.00","2022-03-24","Mrs Sydney Garcia"
"Newton","British Columbia","Canada",11328,55,"M","90000.00","2022-01-05","Mr Julian Griffin"
"Oak Bay","British Columbia","Canada",11330,59,"M","110000.00","2022-02-12","Mr Ryan Thompson"
"Shawnee","British Columbia","Canada",11331,63,"M","90000.00","2022-02-07","Mrs Samantha Jenkins"
"Paris","Seine (Paris)","France",11336,204,"M","20000.00","2021-09-27","Mr Shaun Raji"
"Paris","Seine (Paris)","France",11339,202,"S","20000.00","2021-10-07","Mr Dennis She"
"Paris","Seine (Paris)","France",11340,192,"M","10000.00","2021-10-27","Mrs Melody Munoz"
"Boulogne-sur-Mer","Pas de Calais","France",11342,191,"M","30000.00","2022-07-12","Mr Marshall Wang"
"Tremblay-en-France","Seine Saint Denis","France",11345,224,"S","10000.00","2021-10-22","Ms Robin Ramos"
"Paris","Seine (Paris)","France",11346,196,"S","10000.00","2021-10-01","Ms Deanna Gutierrez"
"Braunschweig","Nordrhein-Westfalen","Germany",11347,156,"M","10000.00","2022-03-16","Mr Roy Navarro"
"Paderborn","Hamburg","Germany",11348,151,"M","10000.00","2022-03-31","Mr Shawn Rai"
"München","Hessen","Germany",11349,134,"M","10000.00","2023-01-13","Mrs Mindy Luo"
"Peterborough","England","United Kingdom",11350,265,"M","30000.00","2022-02-05","Mrs Cara Zhou"
"Pantin","Seine Saint Denis","France",11352,222,"M","10000.00","2022-05-01","Mr Raymond Rodriguez"
"Grevenbroich","Bayern","Germany",11354,119,"M","20000.00","2022-12-03","Mrs Deanna Suarez"
"Wokingham","England","United Kingdom",11355,275,"M","40000.00","2022-09-26","Mr Roberto Gutierrez"
"Newcastle","New South Wales","Australia",11361,10,"M","10000.00","2022-10-01","Mrs Cindy Ramos"
"Cranbourne","Victoria","Australia",11362,33,"M","10000.00","2022-03-29","Mr Damien Shan"
"Seaford","Victoria","Australia",11366,37,"M","20000.00","2022-06-24","Mrs Virginia Patel"
"North Sydney","New South Wales","Australia",11367,12,"M","20000.00","2022-07-07","Mr Calvin Nara"
"Findon","South Australia","Australia",11369,29,"M","20000.00","2022-07-05","Mrs Ashlee Tang"
"South Melbourne","Victoria","Australia",11370,38,"M","20000.00","2022-07-13","Mrs Alicia Xu"
"Rockhampton","Queensland","Australia",11371,26,"M","20000.00","2022-11-07","Mrs Lacey Jai"
"Salzgitter","Hessen","Germany",11373,135,"M","30000.00","2022-08-27","Mrs Carly Luo"
"Werne","Nordrhein-Westfalen","Germany",11374,162,"S","30000.00","2022-04-15","Mr Jimmy Ortega"
"High Wycombe","England","United Kingdom",11375,240,"M","30000.00","2022-10-17","Mr Francisco Martinez"
"Liverpool","England","United Kingdom",11376,268,"S","40000.00","2022-10-15","Mr Lance Vazquez"
"Solingen","Nordrhein-Westfalen","Germany",11377,161,"M","30000.00","2022-02-28","Mr David Robinett"
"Metz","Moselle","France",11378,184,"S","10000.00","2021-10-17","Ms Shannon Liang"
"Boulogne-Billancourt","Hauts de Seine","France",11379,214,"M","10000.00","2021-10-02","Mr Gary Vazquez"
"Roubaix","Nord","France",11382,189,"M","20000.00","2021-11-03","Mr Edward Patterson"
"Roissy en Brie","Seine et Marne","France",11383,206,"M","30000.00","2023-01-01","Mrs Marie Gill"
"Les Ulis","Essonne","France",11384,211,"M","30000.00","2022-08-02","Mrs Tiffany Wang"
"York","England","United Kingdom",11385,279,"S","30000.00","2022-07-06","Mr Miguel Allen"
"Darmstadt","Hessen","Germany",11386,127,"M","30000.00","2022-11-02","Mrs Jaclyn Cai"
"Duesseldorf","Hessen","Germany",11389,130,"S","10000.00","2022-11-17","Mr Karl Shan"
"Saint Germain en Laye","Yveline","France",11390,208,"S","10000.00","2022-11-07","Ms Christine Raji"
"Salzgitter","Hessen","Germany",11391,135,"S","10000.00","2022-10-26","Ms Lindsay Xie"
"Frankfurt","Hessen","Germany",11392,131,"S","10000.00","2022-03-29","Mr Willie Zhao"
"Saint Ouen","Loir et Cher","France",11393,182,"S","10000.00","2022-07-16","Mr Kurt Pal"
"Saarlouis","Saarland","Germany",11396,175,"M","10000.00","2022-10-26","Mr Ian Lopez"
"Paris","Seine (Paris)","France",11397,197,"S","20000.00","2022-07-07","Ms Latoya Shan"
"Paris","Seine (Paris)","France",11399,202,"S","30000.00","2022-04-13","Ms Brenda Mehta"
"Paris","Seine (Paris)","France",11401,204,"M","40000.00","2021-10-28","Mrs Linda Navarro"
"Orleans","Loiret","France",11402,183,"M","40000.00","2021-11-07","Mrs Kelli Cai"
"Saint Ouen","Charente-Maritime","France",11403,179,"S","40000.00","2021-10-28","Ms Nancy Schmidt"
"Kassel","Hessen","Germany",11404,133,"S","10000.00","2022-02-10","Ms Megan Taylor"
"Bonn","Hamburg","Germany",11405,143,"S","10000.00","2022-03-31","Ms Bonnie Goel"
"Paris","Seine (Paris)","France",11406,199,"M","20000.00","2021-11-04","Mrs Latoya Xu"
"Münster","Saarland","Germany",11407,170,"M","20000.00","2022-06-23","Mr Mario She"
"London","England","United Kingdom",11408,257,"M","10000.00","2022-03-05","Mr Darren Gill"
"Saint Germain en Laye","Yveline","France",11409,208,"S","10000.00","2021-11-17","Ms Jacqueline Hayes"
"Paris","Seine (Paris)","France",11410,201,"M","20000.00","2021-11-13","Mr Maurice Goel"
"Ingolstadt","Bayern","Germany",11411,121,"M","80000.00","2022-08-04","Mr Devin Ross"
"Darmstadt","Hessen","Germany",11415,127,"S","90000.00","2022-08-16","Mr Randy She"
"Croix","Nord","France",11416,185,"M","60000.00","2021-11-07","Mrs Katrina Becker"
"Pantin","Seine Saint Denis","France",11417,222,"M","70000.00","2021-11-04","Mrs Lacey Zheng"
"Paderborn","Nordrhein-Westfalen","Germany",11418,160,"S","90000.00","2022-12-17","Mr Rafael Hu"
"Watford","England","United Kingdom",11419,273,"M","150000.00","2022-03-12","Mr Kyle Scott"
"Roubaix","Nord","France",11420,189,"M","100000.00","2021-11-01","Mr Jordan Turner"
"Berlin","Saarland","Germany",11424,164,"M","80000.00","2022-04-21","Mrs Pamela Garcia"
"Metz","Moselle","France",11425,184,"M","90000.00","2021-11-22","Mrs Ariana Gray"
"Braunschweig","Nordrhein-Westfalen","Germany",11426,156,"M","110000.00","2022-04-09","Mr Kristopher Mehta"
"Sèvres","Hauts de Seine","France",11429,218,"M","80000.00","2021-12-14","Mr Marco Lopez"
"Bottrop","Nordrhein-Westfalen","Germany",11430,155,"M","90000.00","2022-03-19","Mrs Casey Yuan"
"Roissy en Brie","Seine et Marne","France",11432,206,"M","80000.00","2021-12-10","Mrs Dominique Prasad"
"Tremblay-en-France","Seine Saint Denis","France",11433,224,"M","80000.00","2021-12-02","Mr Maurice Shan"
"West Sussex","England","United Kingdom",11434,274,"M","170000.00","2022-06-15","Mr Andre Lopez"
"Kiel","Saarland","Germany",11435,168,"S","100000.00","2023-01-04","Ms Robin Romero"
"Watford","England","United Kingdom",11436,273,"M","160000.00","2022-05-22","Mrs Taylor Cox"
"Villeneuve-d'Ascq","Nord","France",11437,190,"M","90000.00","2022-12-19","Mr Alfredo Moreno"
"Werne","Nordrhein-Westfalen","Germany",11438,162,"M","130000.00","2022-02-05","Mrs Jenny Nara"
"Paris La Defense","Hauts de Seine","France",11439,217,"M","90000.00","2021-11-29","Mrs Janet Munoz"
"Lille","Nord","France",11440,187,"M","80000.00","2022-03-27","Mr Sergio Weber"
"Paris","Seine (Paris)","France",11441,192,"M","90000.00","2023-01-08","Mrs Erika Gomez"
"Tremblay-en-France","Seine Saint Denis","France",11442,224,"M","90000.00","2022-09-29","Mr Joseph Harris"
"Springwood","New South Wales","Australia",11458,16,"M","100000.00","2022-03-30","Mrs Bianca Liu"
"Cloverdale","South Australia","Australia",11463,28,"M","110000.00","2022-03-05","Mrs Alisha Beck"
"Lavender Bay","New South Wales","Australia",11466,6,"M","150000.00","2022-05-22","Mr Grant Tang"
"St. Leonards","New South Wales","Australia",11467,17,"M","170000.00","2022-07-31","Mr Arturo Zheng"
"York","England","United Kingdom",11469,278,"S","10000.00","2022-08-09","Mr Edwin Raji"
"Stuttgart","Saarland","Germany",11470,177,"S","20000.00","2021-01-22","Mr Jay Suarez"
"Chatou","Yveline","France",11471,207,"S","30000.00","2022-05-17","Ms Latasha Suarez"
"Drancy","Seine Saint Denis","France",11473,221,"S","20000.00","2022-06-02","Ms Grace Henderson"
"Peterborough","England","United Kingdom",11474,265,"S","20000.00","2022-09-26","Mr Melvin Xu"
"London","England","United Kingdom",11475,251,"S","30000.00","2022-04-23","Mr Cesar Subram"
"Kirkby","England","United Kingdom",11476,241,"M","40000.00","2022-11-01","Mrs Erika Navarro"
"Darmstadt","Hessen","Germany",11477,127,"S","30000.00","2022-09-25","Mr Tristan Hughes"
"Sèvres","Hauts de Seine","France",11478,218,"S","30000.00","2022-04-19","Mr Billy Hernandez"
"Saint Ouen","Loir et Cher","France",11479,182,"M","40000.00","2021-12-05","Mr Darryl Wu"
